,assists,blocked,evenTimeOnIce_s,faceOffWins,faceoffTaken,giveaways,goals,hits,penaltyMinutes_s,plusMinus,powerPlayAssists,powerPlayGoals,powerPlayTimeOnIce_s,shortHandedAssists,shortHandedGoals,shortHandedTimeOnIce_s,shots,takeaways,timeOnIce_s,games_played
8475153,9,55,36430,0,0,15,3,116,480,-3,1,0,491,0,0,3832,60,18,40753,44.0
8475179,11,92,85024,0,0,47,8,125,3960,-26,3,2,11619,0,1,8786,127,29,105429,81.0
8474625,7,19,32104,11,30,5,11,115,1080,-5,1,3,4074,0,0,14,72,14,36192,55.0
8470039,20,11,64647,5,18,26,8,59,1320,-18,5,2,12437,1,0,5095,188,30,82179,80.0
8474498,9,21,32689,63,130,9,9,65,2280,-2,0,1,1087,0,0,5964,100,9,39740,52.0
8470105,22,25,59791,32,71,15,15,134,4380,1,5,1,7194,0,1,5619,161,35,72604,76.0
8470176,13,18,51372,2,4,16,16,111,2400,-16,1,3,8665,0,0,1364,190,27,61401,62.0
8467428,4,6,19645,1,1,2,0,64,5940,-10,0,0,38,0,0,42,19,4,19725,55.0
8467351,10,16,32408,239,515,15,2,16,1440,-11,2,0,3739,0,0,97,56,20,36244,46.0
8468504,15,35,66773,37,69,29,21,46,1680,-6,1,2,11563,0,1,1430,176,38,79766,78.0
8475760,22,23,62611,549,1123,28,16,117,960,-14,3,0,9768,1,1,1580,185,37,73959,76.0
8475769,2,11,11304,2,8,0,4,32,600,0,0,0,52,0,1,1814,23,9,13170,16.0
8475790,6,91,59202,0,0,19,3,158,6840,-7,1,0,3349,0,0,7575,92,14,70126,65.0
8474606,2,19,15210,0,0,4,0,17,360,-4,0,0,427,1,0,2193,15,4,17830,16.0
8466285,30,108,103868,0,1,45,7,50,1200,-6,10,2,19183,2,0,9581,116,43,132632,82.0
8460492,4,42,27959,0,0,12,1,34,2340,-6,1,0,3635,1,0,4303,44,8,35897,37.0
8476389,3,11,16858,166,348,8,5,39,360,-11,0,1,3067,0,1,2739,38,13,22664,20.0
8475204,12,15,33807,204,454,7,13,24,480,6,3,3,4343,0,0,0,80,16,38150,49.0
8468114,2,115,36532,0,0,17,0,144,2520,-12,0,0,25,0,0,9081,26,5,45638,53.0
8475848,22,36,65344,47,128,22,19,38,4380,4,1,8,11853,0,0,390,211,41,77587,81.0
8468095,1,5,5904,0,0,2,0,14,5100,-6,0,0,102,0,0,0,4,0,6006,22.0
8471504,7,15,48909,4,8,9,9,90,1920,-1,1,3,4535,0,0,169,118,13,53613,63.0
8470598,41,17,71876,20,46,50,27,30,2760,7,10,8,18534,0,0,153,248,31,90563,78.0
8467407,22,52,72012,23,60,21,18,46,1320,1,5,2,6917,1,0,7802,184,38,86731,81.0
8476851,18,25,48125,5,15,23,13,49,1560,-12,7,3,7940,0,0,76,110,30,56141,65.0
8468478,12,128,66658,1,1,23,1,121,1860,0,0,0,461,0,0,12724,53,15,79843,72.0
8464975,12,11,45923,171,350,17,13,23,1800,1,2,4,6872,0,0,66,118,22,52861,69.0
8475739,7,42,33877,28,61,10,7,67,1080,-6,2,1,941,0,0,2329,78,15,37147,60.0
8471976,36,35,68159,611,1202,22,16,23,1440,11,12,3,12749,0,0,625,96,34,81533,79.0
8473466,4,37,24496,197,388,7,2,88,3000,-8,0,0,177,0,0,5556,51,10,30229,52.0
8465914,4,70,49674,0,0,27,2,80,2040,-5,1,0,3942,0,0,1567,34,7,55183,52.0
8474157,21,33,63152,6,10,18,39,69,2100,8,7,10,13222,0,1,4618,270,28,80992,73.0
8471296,14,127,59949,0,0,44,3,189,3540,-1,2,1,2089,0,0,6129,58,7,68167,59.0
8474056,43,125,94874,0,0,83,10,135,4860,-4,19,4,22936,0,0,3302,204,26,121112,82.0
8467496,36,180,89190,0,0,82,7,49,2040,12,19,2,21313,0,1,12157,131,35,122660,81.0
8474189,14,58,62116,521,979,25,12,130,4080,-15,1,2,5122,1,1,6504,137,30,73742,77.0
8474218,29,107,72652,0,0,69,5,69,1800,14,8,1,8663,1,0,6378,105,40,87693,75.0
8467331,8,114,62341,0,0,29,3,122,2100,4,0,0,377,0,0,7416,64,13,70134,61.0
8470794,38,68,72526,675,1206,57,41,47,1920,23,15,16,17298,1,1,7839,225,56,97663,82.0
8467899,10,14,36833,0,4,34,12,9,600,14,1,1,5136,0,0,436,72,15,42405,48.0
8471956,14,43,47979,371,675,26,3,103,5160,-8,0,0,298,0,0,5880,95,37,54157,81.0
8466139,37,29,75087,163,308,65,33,85,1080,0,12,11,17778,0,2,8103,285,50,100968,82.0
8473536,16,34,47697,105,233,15,4,105,2100,3,1,0,1047,0,0,181,84,31,48925,67.0
8471371,3,15,23753,2,3,4,2,146,5640,-9,0,0,186,0,0,89,45,8,24028,56.0
8466138,65,34,73360,617,1099,96,11,54,1920,20,17,2,18096,1,0,1685,122,76,93141,82.0
8467096,24,92,78199,0,0,59,12,46,1920,-8,12,6,16379,0,0,1194,154,26,95772,75.0
8466158,9,73,52931,0,0,23,3,29,3300,1,0,0,496,1,0,6284,52,13,59711,56.0
8470063,0,9,7523,39,75,1,0,23,360,-4,0,0,123,0,0,1012,9,2,8658,15.0
8471996,2,16,17702,30,71,4,3,45,360,-2,0,1,1226,0,0,861,37,4,19789,25.0
8473562,1,17,21031,71,133,9,1,25,240,-11,0,0,266,0,0,2586,49,9,23883,36.0
8471709,19,150,86600,0,0,35,5,51,2280,31,1,0,3409,1,1,10664,138,18,100673,81.0
8474739,22,58,62917,20,56,44,16,218,2100,11,5,0,5663,1,2,5857,163,26,74437,77.0
8474027,13,146,87398,0,0,39,4,77,1200,19,0,1,5054,0,0,10799,121,40,103251,82.0
8470613,26,24,60207,61,131,37,22,145,2040,26,9,2,9171,0,0,230,245,45,69608,69.0
8471348,13,72,61610,0,0,21,2,84,1200,9,0,0,3210,0,0,2954,95,13,67774,66.0
8471677,28,128,91001,0,1,40,5,182,2880,-7,14,4,15793,0,0,14629,147,17,121423,82.0
8470596,14,14,28581,1,1,11,4,53,1440,-3,2,2,4684,0,0,124,48,12,33389,35.0
8474685,15,29,43688,3,9,19,9,111,3180,-1,2,2,5199,0,0,5218,90,20,54105,56.0
8474715,19,38,63467,0,0,20,21,55,1080,-4,5,4,10529,0,1,844,216,29,74840,79.0
8471273,34,39,63938,586,1107,20,16,234,5880,5,6,4,11865,2,2,9814,189,33,85617,76.0
8469469,16,36,57751,25,40,26,18,113,1560,-3,4,8,9112,1,1,4955,136,31,71818,74.0
8475793,30,39,70318,692,1311,40,33,114,2580,3,13,7,12979,0,0,3524,237,39,86821,82.0
8470222,44,73,76385,0,0,38,7,101,3660,0,25,3,16426,0,0,8987,166,18,101798,75.0
8468001,9,32,39677,256,497,16,9,241,2820,0,0,0,405,1,2,7912,70,24,47994,71.0
8474130,9,28,27916,0,1,4,2,112,2220,3,0,0,237,0,0,280,35,9,28433,53.0
8476850,17,97,63649,0,0,26,4,26,600,4,4,3,8161,1,0,6878,62,12,78688,66.0
8476432,13,37,56763,14,30,26,16,212,2700,6,3,4,3981,0,0,79,127,28,60823,72.0
8473573,17,55,60621,476,965,19,22,31,1200,-2,3,3,9860,0,2,10177,162,51,80658,81.0
8469492,22,89,70550,0,0,24,4,91,2640,6,8,1,6645,2,0,11446,87,16,88641,69.0
8473914,22,25,55003,374,730,13,12,63,1200,1,6,5,6062,2,1,11211,122,27,72276,82.0
8475233,10,81,66783,1,1,9,5,149,1680,2,3,1,2451,0,0,5647,63,12,74881,70.0
8473422,21,42,59280,6,13,22,18,210,5760,5,3,3,7306,0,0,859,111,43,67445,70.0
8471735,45,105,96182,0,0,65,8,22,3780,-23,28,3,21616,0,0,1001,241,31,118799,82.0
8469760,8,165,63740,0,0,23,2,55,1440,6,0,0,185,0,0,10337,78,27,74262,59.0
8476473,7,38,29057,0,0,13,1,44,600,5,0,0,35,0,0,3273,30,13,32365,30.0
8468064,26,25,52540,97,213,14,3,75,1680,5,4,0,4933,0,0,4152,53,16,61625,70.0
8470713,6,4,11108,1,3,3,2,51,3180,6,0,0,0,0,0,0,25,6,11108,39.0
8467831,7,33,34163,296,562,4,5,65,1440,-8,0,0,172,0,0,8250,45,13,42585,69.0
8468085,31,27,70800,17,43,20,20,68,1320,-6,11,10,13442,0,0,1951,263,41,86193,80.0
8469664,14,49,57050,21,51,16,8,120,1080,-1,2,0,2176,0,0,10227,151,32,69453,79.0
8462038,24,22,66357,6,12,20,23,135,2040,-7,9,10,11901,0,0,158,167,48,78416,69.0
8475171,29,80,90924,0,1,36,15,134,3000,-4,14,8,19646,0,0,13727,199,26,124297,80.0
8471231,15,9,46267,176,331,12,5,116,2700,3,0,0,141,0,0,239,46,30,46647,80.0
8471232,16,38,50846,5,17,13,9,136,1440,-7,1,1,3100,3,0,7790,109,19,61736,64.0
8475759,0,8,4121,0,0,1,0,5,120,4,0,0,99,0,0,143,4,1,4363,5.0
8473970,9,7,47833,1,6,13,11,168,1140,6,0,1,275,0,0,1000,103,14,49108,72.0
8468535,21,71,71570,1005,1783,22,24,90,2640,0,6,7,11981,0,3,10970,160,42,94521,82.0
8464966,12,104,64792,0,0,23,5,99,2460,-2,1,0,2069,0,0,6655,82,21,73516,63.0
8467371,31,18,69797,391,903,46,16,72,3120,-13,11,4,15835,0,0,739,110,24,86371,80.0
8474571,32,16,73638,3,7,18,19,105,1200,-9,11,5,10839,0,0,1208,166,33,85685,82.0
8467423,13,29,48401,209,417,17,7,63,3120,1,0,4,5599,0,1,5406,68,34,59406,77.0
8474138,2,5,18560,55,115,5,2,6,120,-4,0,0,671,0,0,294,30,9,19525,34.0
8475163,22,21,53082,64,132,26,13,76,2280,-21,7,6,15921,0,0,2638,144,27,71641,79.0
8476116,15,47,52203,4,10,21,17,141,6360,10,0,0,439,0,2,6148,165,42,58790,75.0
8474535,0,4,4874,29,54,1,0,11,0,-2,0,0,20,0,0,100,8,1,4994,9.0
8475236,19,58,66608,585,1223,33,16,91,2160,-9,3,3,9963,0,1,7660,161,57,84231,81.0
8474849,15,49,55961,19,44,24,14,146,12540,-1,0,0,695,2,0,8143,113,24,64799,81.0
8474098,4,16,19637,17,43,13,8,19,240,-3,0,2,3000,0,0,576,69,7,23213,26.0
8475246,7,29,31228,0,0,22,1,43,960,-6,2,0,1456,0,0,430,56,9,33114,36.0
8474818,17,122,78792,1,1,39,3,118,1800,16,1,1,2825,1,0,8030,91,27,89647,78.0
8470310,1,38,18072,0,0,12,0,20,660,-6,0,0,76,0,0,1484,15,2,19632,25.0
8471274,36,154,90063,0,1,88,6,94,1680,9,12,3,16077,0,0,12023,141,18,118163,81.0
8475747,0,11,6249,0,0,5,0,16,360,-3,0,0,0,0,0,359,3,1,6608,8.0
8469759,17,52,50388,513,982,24,6,45,2220,3,1,0,1066,2,0,9122,109,21,60576,76.0
8477501,20,27,64648,0,1,59,14,86,480,20,1,2,6253,0,0,54,128,25,70955,79.0
8458951,20,81,67897,0,0,33,2,71,1200,-12,13,1,11300,0,0,1105,89,10,80302,76.0
8467396,13,21,56882,19,41,34,16,89,1200,-17,4,3,10974,0,0,368,139,31,68224,75.0
8475794,47,24,74551,281,677,60,37,48,1080,16,14,11,18063,0,0,255,294,67,92869,80.0
8469598,20,130,84897,1,1,55,4,144,6240,-8,7,1,8916,0,0,10037,167,32,103850,76.0
8474520,26,128,81063,0,0,44,7,58,3420,-5,11,4,13268,2,1,7227,181,30,101558,81.0
8474134,4,37,29717,0,0,9,6,39,960,-7,2,3,4612,0,0,704,70,9,35033,49.0
8471266,10,17,51170,13,23,16,9,121,1080,1,1,0,1974,0,0,212,117,23,53356,66.0
8475178,15,6,53510,6,21,25,14,91,7440,-4,0,1,3092,0,0,27,91,19,56629,73.0
8470358,10,33,40050,23,55,13,5,84,4260,-9,4,2,6858,1,0,5477,104,24,52385,49.0
8470755,12,52,55687,533,966,20,11,63,2340,1,0,1,606,1,2,8975,85,27,65268,73.0
8470616,18,68,74462,740,1406,28,25,133,4860,-15,7,9,16127,0,1,10198,239,47,100787,77.0
8475598,15,81,54278,1,1,21,1,97,1920,5,0,0,271,0,0,1945,65,20,56494,64.0
8474610,3,9,22638,106,231,2,4,36,360,-7,0,1,806,0,0,85,52,4,23529,55.0
8467875,31,21,70509,8,27,27,16,37,2280,0,13,5,15641,0,0,4102,224,32,90252,73.0
8471303,15,136,68925,2,3,34,7,112,3000,-39,8,4,10791,0,0,8307,178,28,88023,63.0
8476302,0,17,10581,0,0,3,1,9,240,-2,0,0,491,0,0,236,20,1,11308,15.0
8473574,11,29,50553,183,433,15,12,93,1560,-3,0,0,1663,0,0,7909,127,33,60125,77.0
8473542,4,12,29339,3,11,7,5,121,12780,-14,0,1,493,0,0,0,31,8,29832,77.0
8467876,39,19,68144,574,1097,36,11,43,2520,3,14,4,14536,0,0,4144,97,22,86824,70.0
8477816,1,0,1386,0,0,0,0,0,0,2,1,0,69,0,0,0,2,1,1455,2.0
8476482,3,6,14100,0,1,7,3,7,600,-1,1,0,1785,0,0,66,30,8,15951,17.0
8471729,22,201,78683,0,0,39,7,42,900,-11,8,4,12059,1,0,3647,109,25,94389,68.0
8470966,33,103,73527,0,0,43,14,73,3780,12,13,7,13201,3,0,10170,180,39,96898,64.0
8474577,18,33,60449,214,441,38,10,129,2040,-17,3,1,6772,0,0,1259,80,30,68480,80.0
8473908,3,10,18641,1,5,12,4,45,4080,-4,0,0,60,0,0,0,31,8,18701,48.0
8467977,4,23,30298,2,3,10,4,82,6000,-4,0,0,278,0,0,54,79,14,30630,76.0
8474642,10,87,48478,22,85,15,5,181,2460,-4,0,0,1071,0,1,9451,82,20,59000,78.0
8470162,19,36,60361,527,1096,40,14,74,2520,-13,1,0,1417,2,1,7677,70,49,69455,63.0
8471185,12,27,33476,14,41,22,12,59,720,-11,5,3,5781,0,0,909,77,19,40166,38.0
8477497,12,23,61331,476,1036,31,22,42,480,-20,4,3,9442,0,0,1128,140,26,71901,75.0
8470201,37,15,70495,4,22,39,17,35,960,4,11,2,14007,0,0,300,109,29,84802,75.0
8474038,14,10,34960,7,32,13,7,63,1620,6,1,2,2046,3,1,3723,46,29,40729,47.0
8474001,13,43,49669,62,155,16,4,77,1260,-13,0,0,615,1,1,4067,100,23,54351,62.0
8476827,3,9,6602,0,0,2,0,0,0,-3,0,0,723,0,0,0,3,2,7325,10.0
8474837,0,4,2543,0,0,3,0,10,0,-4,0,0,44,0,0,0,6,0,2587,4.0
8475648,2,7,4828,0,0,5,0,3,300,1,0,0,0,0,0,240,4,0,5068,9.0
8471761,14,211,84775,0,0,64,2,68,2340,-23,0,0,1686,1,0,13247,83,14,99708,82.0
8475833,0,0,815,5,9,0,0,1,0,-1,0,0,0,0,0,0,0,0,815,1.0
8476346,0,0,820,0,0,0,1,0,0,1,0,0,91,0,0,0,1,1,911,1.0
8475764,30,122,74696,0,0,36,6,46,840,15,11,4,14232,0,1,11296,100,24,100224,70.0
8474579,5,38,28169,0,0,10,1,83,2580,0,0,0,428,0,0,2105,30,7,30702,30.0
8473933,13,150,80514,0,0,32,5,215,2340,21,1,0,969,0,0,9295,107,17,90778,78.0
8471699,21,36,66816,11,27,31,21,94,1560,13,0,0,1082,2,3,7836,157,22,75734,82.0
8457981,18,8,44954,46,106,31,9,15,720,8,4,4,9223,0,0,68,111,16,54245,64.0
8459442,18,30,49965,538,1067,34,11,29,2760,3,0,0,2598,3,1,6126,81,25,58689,65.0
8474009,27,68,53925,583,1194,35,22,28,1320,14,13,7,13235,0,0,7821,159,37,74981,77.0
8462196,5,49,38935,0,0,11,5,96,1200,10,0,1,1833,0,0,5229,56,4,45997,38.0
8475151,17,31,45337,9,23,17,14,96,2280,9,0,0,5535,0,0,2,147,14,50874,71.0
8473618,25,15,48329,437,830,19,18,73,2160,13,5,4,8970,0,0,113,120,19,57412,69.0
8475164,13,20,37091,1,12,9,10,31,720,2,0,1,4161,0,2,3249,119,17,44501,52.0
8471476,24,62,58141,85,196,30,6,61,1380,6,0,0,546,2,2,11488,115,34,70175,76.0
8473492,15,24,35448,8,18,13,9,132,3840,8,4,0,4123,1,0,1464,112,14,41035,55.0
8475222,15,47,42758,0,0,22,6,66,1320,9,5,2,6939,0,0,563,73,15,50260,48.0
8476854,24,61,79248,0,1,45,6,54,2160,29,3,1,9792,0,0,1900,116,22,90940,78.0
8474034,18,16,39331,7,15,15,11,124,6060,11,3,1,6417,0,0,56,93,15,45804,62.0
8476483,4,4,12160,95,194,4,0,21,120,-3,0,0,363,0,0,135,22,5,12658,18.0
8475758,8,13,13402,0,4,7,2,50,120,5,0,0,769,0,0,242,23,2,14413,19.0
8474207,15,57,49881,0,0,22,10,118,1320,12,5,2,5608,1,0,5044,66,10,60533,54.0
8470317,8,128,58813,0,0,24,1,119,2760,3,0,0,223,0,0,11460,52,12,70496,68.0
8473446,30,130,92904,0,0,42,9,136,3660,5,12,2,12701,0,0,4828,157,49,110433,80.0
8470699,11,144,90238,0,0,31,6,170,2400,8,0,0,565,0,0,13681,75,22,104484,78.0
8473465,19,35,64984,1,2,17,19,140,1800,-3,4,5,8328,0,0,1479,167,36,74791,79.0
8469707,19,16,47400,2,14,21,14,35,1800,3,2,1,8429,0,0,107,110,21,55936,55.0
8471718,6,42,36350,331,719,4,1,25,1020,-11,0,0,279,1,0,11543,69,34,48172,76.0
8470171,19,46,64539,100,225,20,8,116,2700,5,1,0,690,0,1,13303,124,37,78532,81.0
8471669,35,46,65636,655,1210,20,25,54,1320,9,11,4,10113,1,0,2602,150,35,78351,71.0
8474008,0,2,4406,0,0,1,0,11,0,2,0,0,227,0,0,0,6,1,4633,12.0
8477492,39,45,73501,194,452,28,24,57,1560,20,9,8,11491,0,0,341,241,51,85333,82.0
8474089,2,5,12883,45,96,7,3,79,1380,-4,0,0,111,0,0,0,16,4,12994,32.0
8473700,6,17,22331,0,1,9,0,53,720,1,0,0,412,0,0,1897,23,5,24640,28.0
8475206,0,0,948,0,0,0,1,2,0,0,0,0,55,0,0,8,1,0,1011,1.0
8471326,5,14,33705,1,3,13,6,178,6900,-1,0,0,179,0,0,0,37,8,33884,82.0
8470378,21,119,76002,0,0,32,7,58,1560,2,7,1,11598,1,0,8205,113,20,95805,79.0
8475158,36,43,76764,192,371,33,28,22,120,-1,13,9,12799,0,0,5575,201,83,95138,80.0
8476455,39,52,78022,13,18,35,26,176,4260,21,5,5,11726,0,0,1021,222,64,90769,81.0
8475745,18,37,61728,192,458,28,12,108,1980,-7,1,2,9434,0,0,621,135,32,71783,70.0
8470886,4,65,45405,0,0,19,1,99,5040,-6,0,0,94,0,0,4874,48,11,50373,63.0
8474618,14,102,75804,0,0,35,3,70,1200,10,0,0,1192,0,0,8784,80,25,85780,76.0
8474164,1,13,10088,0,0,2,0,10,0,-1,0,0,257,0,0,153,11,1,10498,15.0
8469591,5,21,19516,89,198,4,2,76,3120,-6,0,0,63,0,0,3409,26,7,22988,43.0
8469459,43,32,62759,719,1311,27,11,33,1440,0,16,2,13454,2,0,5428,147,49,81641,65.0
8470610,27,45,64538,10,24,18,29,70,1800,10,6,14,13412,0,1,4163,245,46,82113,67.0
8476235,8,23,44635,2,2,14,13,9,1560,6,1,1,3885,0,0,21,79,24,48541,66.0
8469542,0,20,14719,1,2,2,3,41,1260,-2,0,0,0,0,0,2492,26,9,17211,34.0
8470600,35,132,114539,1,1,41,8,72,2040,15,14,3,18556,1,0,11619,150,30,144714,82.0
8475799,22,23,61842,7,26,24,14,175,2640,12,4,2,6624,0,0,35,143,37,68501,81.0
8465951,18,61,63082,10,26,25,10,190,3240,8,2,0,307,1,1,12407,104,34,75796,82.0
8476463,11,117,95785,0,0,36,8,33,1320,0,4,3,6739,0,0,10768,74,28,113292,79.0
8470852,28,43,66813,2,9,14,23,46,2040,2,10,9,13918,0,0,132,176,32,80863,75.0
8469506,30,31,74042,87,159,24,30,23,960,3,10,7,17038,0,0,383,226,37,91463,82.0
8475613,6,83,40989,0,0,7,2,22,3480,2,1,0,63,1,0,5143,30,17,46195,53.0
8474716,21,107,74350,0,0,21,5,80,960,15,5,2,8531,0,0,8136,91,19,91017,67.0
8475287,9,17,24654,161,348,5,6,23,1740,14,0,0,288,0,1,3062,56,8,28004,46.0
8477495,19,99,73845,0,0,57,6,55,1440,-22,7,2,9107,0,0,7688,100,25,90640,77.0
8475176,21,97,68378,0,0,42,6,57,1440,9,6,0,8411,0,0,334,123,17,77123,80.0
8470642,33,173,100390,0,0,50,23,169,3120,-2,14,12,14795,0,0,12337,195,35,127522,79.0
8464989,29,22,59143,438,772,40,10,18,1920,4,8,1,10340,0,0,2108,134,30,71591,77.0
8467370,29,73,69934,596,1146,38,20,144,3600,-4,7,4,12264,0,0,6713,177,34,88911,75.0
8474096,19,32,56742,88,167,7,13,42,840,2,3,3,5036,0,1,6467,85,30,68245,71.0
8475225,28,21,67899,3,19,49,24,54,1320,16,3,7,9732,0,0,102,215,50,77733,79.0
8471733,4,9,28709,0,0,6,3,132,9960,-7,0,0,109,0,0,614,29,11,29432,58.0
8475714,7,4,9053,58,147,2,2,2,240,7,1,0,1008,0,0,68,13,2,10129,12.0
8470180,6,35,61357,2,10,16,15,154,3600,-25,0,0,352,0,1,8720,120,26,70429,79.0
8473537,10,25,51815,1,3,23,8,55,1920,-15,0,0,819,0,0,224,114,32,52858,70.0
8471887,31,34,63503,0,6,13,22,77,1680,2,10,7,13316,0,0,50,248,53,76869,76.0
